     JU  KU  U    JL  KL   L     OBS/CM-1      UNC/CM-1   
     21  15  0    20  15   1   212.048514     0.00010000
     21  15  1    20  15   0   212.125228     0.00010000
     21  16  0    20  16   1   212.464570     0.00010000
     21  16  1    20  16   0   212.553422     0.00010000
     21  17  0    20  17   1   212.914756     0.00010000
     21  17  1    20  17   0   213.018806     0.00010000
     21  18  0    20  18   1   213.400689     0.00010000
     21  18  1    20  18   0   213.523690     0.00010000
     21  19  0    20  19   1   213.924200     0.00010000
     21  19  1    20  19   0   214.071010     0.00010000
     21  20  0    20  20   1   214.486852     0.00010000
     21  20  1    20  20   0   214.663887     0.00010000
     22   0  0    21   0   1   218.545949     0.00010000
     22   0  1    21   0   0   218.569142     0.00010000
     22   1  0    21   1   1   218.558278     0.00010000
     22   1  1    21   1   0   218.581283     0.00010000
     22   2  0    21   2   1   218.594951     0.00010000
     22   2  1    21   2   0   218.618287     0.00010000
     22   3  0    21   3   1   218.673280     0.00010000
     22  -3  0    21  -3   1   218.639378     0.00010000
     22   3  1    21   3   0   218.697505     0.00010000
     22  -3  1    21  -3   0   218.662941     0.00010000
     22   4  0    21   4   1   218.742654     0.00100000
     22   4  1    21   4   0   218.767055     0.00010000
     22   5  0    21   5   1   218.853649     0.00010000
     22   5  1    21   5   0   218.879481     0.00010000
     22   6  1    21   6   0   219.017539     0.00010000
     22   6  0    21   6   1   218.990322     0.00010000
     22   7  0    21   7   1   219.152837     0.00010000
     22   7  1    21   7   0   219.181779     0.00010000
     22   8  1    21   8   0   219.372704     0.00010000
     22   8  0    21   8   1   219.341588     0.00010000
     22   9  1    21   9   0   219.590821     0.00010000
     22   9  0    21   9   1   219.557083     0.00010000
     22  10  1    21  10   0   219.837171     0.00010000
     22  10  0    21  10   1   219.800228     0.00010000
     22  11  1    21  11   0   220.112403     0.00010000
     22  11  0    21  11   1   220.071700     0.00010000
     22  12  1    21  12   0   220.417585     0.00010000
     22  12  0    21  12   1   220.372044     0.00010000
     22  13  1    21  13   0   220.753902     0.00010000
     22  13  0    21  13   1   220.702594     0.00010000
     22  14  1    21  14   0   221.122719     0.00010000
     22  14  0    21  14   1   221.064590     0.00010000
     22  15  1    21  15   0   221.525451     0.00010000
     22  15  0    21  15   1   221.458517     0.00010000
     22  16  1    21  16   0   221.963902     0.00010000
     22  16  0    21  16   1   221.886388     0.00010000
     22  17  1    21  17   0   222.440163     0.00010000
     22  17  0    21  17   1   222.349392     0.00010000
     22  18  0    21  18   1   222.849270     0.00010000
     22  18  1    21  18   0   222.956409     0.00010000
     22  19  0    21  19   1   223.387634     0.00010000
     22  19  1    21  19   0   223.515519     0.00010000
     22  20  0    21  20   1   223.966596     0.00010000
     22  20  1    21  20   0   224.120640     0.00010000
     22  21  0    21  21   1   224.587981     0.00010000
     22  21  1    21  21   0   224.775465     0.00010000
     23   0  0    22   0   1   227.794483     0.00010000
     23   0  1    22   0   0   227.814330     0.00010000
     23   1  0    22   1   1   227.806934     0.00010000
     23   1  1    22   1   0   227.826986     0.00100000
     23   2  0    22   2   1   227.844861     0.00010000
     23   2  1    22   2   0   227.865100     0.00010000
     23   3  0    22   3   1   227.928622     0.00010000
     23  -3  0    22  -3   1   227.886758     0.00010000
     23   3  1    22   3   0   227.949594     0.00010000
     23  -3  1    22  -3   0   227.907582     0.00010000
     23   4  0    22   4   1   227.995986     0.00010000
     23   4  1    22   4   0   228.017505     0.00010000
     23   5  0    22   5   1   228.110290     0.00010000
     23   5  1    22   5   0   228.132817     0.00010000
     23   6  0    22   6   1   228.250545     0.00010000
     23   6  1    22   6   0   228.274115     0.00010000
     23   7  0    22   7   1   228.417346     0.00010000
     23   7  1    22   7   0   228.442285     0.00010000
     23   8  0    22   8   1   228.611121     0.00010000
     23   8  1    22   8   0   228.638087     0.00010000
     23   9  1    22   9   0   228.861573     0.00010000
     23   9  0    22   9   1   228.832302     0.00010000
     23  10  1    22  10   0   229.113782     0.00010000
     23  10  0    22  10   1   229.081710     0.00010000
     23  11  1    22  11   0   229.395535     0.00010000
     23  11  0    22  11   1   229.360116     0.00010000
     23  12  1    22  12   0   229.707958     0.00010000
     23  12  0    22  12   1   229.668412     0.00010000
     23  13  0    22  13   1   230.007527     0.00010000
     23  13  1    22  13   0   230.052053     0.00010000
     23  14  0    22  14   1   230.378574     0.00010000
     23  14  1    22  14   0   230.429135     0.00010000
     23  15  0    22  15   1   230.782709     0.00010000
     23  15  1    22  15   0   230.840999     0.00010000
     23  16  0    22  16   1   231.221443     0.00010000
     23  16  1    22  16   0   231.288912     0.00010000
     23  17  0    22  17   1   231.696263     0.00010000
     23  17  1    22  17   0   231.774981     0.00010000
     23  18  0    22  18   1   232.208741     0.00010000
     23  18  1    22  18   0   232.301638     0.00010000
     23  19  0    22  19   1   232.760968     0.00010000
     23  19  1    22  19   0   232.871613     0.00010000
     23  20  0    22  20   1   233.354376     0.00010000
     23  20  1    22  20   0   233.487639     0.00010000
     23  21  0    22  21   1   233.991688     0.00010000
     23  21  1    22  21   0   234.153806     0.00010000
     23  22  0    22  22   1   234.674953     0.00010000
     23  22  1    22  22   0   234.874020     0.00010000
     24   0  0    23   0   1   236.961668    0.00010000
     24   1  0    23   1   1   236.974169     0.00010000
     24   1  1    23   1   0   236.991894     0.00010000
     24   2  0    23   2   1   237.013080     0.00010000
     24   2  1    23   2   0   237.030496    0.00010000
     24  -3  0    23  -3   1   237.049962     0.00100000
     24   3  0    23   3   1   237.102735     0.00010000
     24   3  1    23   3   0   237.120734     0.00010000
     24  -3  1    23  -3   0   237.069773     0.00010000
     24   4  0    23   4   1   237.168046     0.00100000
     24   4  1    23   4   0   237.186380     0.00010000
     24   5  0    23   5   1   237.285038     0.00010000
     24   5  1    23   5   0   237.304249     0.00010000
     24   6  0    23   6   1   237.428388     0.00010000
     24   6  1    23   6   0   237.449043     0.00010000
     24   7  0    23   7   1   237.599382     0.00010000
     24   7  1    23   7   0   237.621015     0.00010000
     24   8  0    23   8   1   237.797496     0.00010000
     24   8  1    23   8   0   237.820858     0.00010000
     24   9  0    23   9   1   238.023829     0.00010000
     24   9  1    23   9   0   238.049240     0.00010000
     24  10  0    23  10   1   238.279724     0.00100000
     24  10  1    23  10   0   238.306995     0.00010000
     24  11  1    23  11   0   238.594837     0.00010000
     24  11  0    23  11   1   238.564305     0.00010000
     24  12  1    23  12   0   238.913872     0.00010000
     24  12  0    23  12   1   238.879770     0.00010000
     24  13  1    23  13   0   239.264974     0.00010000
     24  13  0    23  13   1   239.226381     0.00010000
     24  14  1    23  14   0   239.649820     0.00010000
     24  14  0    23  14   1   239.606192     0.00010000
     24  15  1    23  15   0   240.069660     0.00010000
     24  15  0    23  15   1   240.019591     0.00010000
     24  16  1    23  16   0   240.526134     0.00100000
     24  16  0    23  16   1   240.468220     0.00010000
     24  17  1    23  17   0   241.021559     0.00010000
     24  17  0    23  17   1   240.953724     0.00010000
     24  18  1    23  18   0   241.557966     0.00100000
     24  18  0    23  18   1   241.477805     0.00010000
     24  19  1    23  19   0   242.137589     0.00010000
     24  19  0    23  19   1   242.042129     0.00010000
     24  20  1    23  20   0   242.763807     0.00010000
     24  20  0    23  20   1   242.648799     0.00010000
     24  21  1    23  21   0   243.439685     0.00010000
     24  21  0    23  21   1   243.300588     0.00010000
     24  22  1    23  22   0   244.170167     0.00010000
     24  22  0    23  22   1   243.999142     0.00010000
     24  23  1    23  23   0   244.959310     0.00010000
     24  23  0    23  23   1   244.747371     0.00010000
     25   0  0    24   0   1   246.045335     0.00010000
     25   0  1    24   0   0   246.060697     0.00010000
     25   1  0    24   1   1   246.059882     0.00100000
     25   1  1    24   1   0   246.073706     0.00010000
     25   2  0    24   2   1   246.098733    0.00010000
     25   2  1    24   2   0   246.113671     0.00010000
     25   3  0    24   3   1   246.194392     0.00010000
     25  -3  0    24  -3   1   246.133777     0.00010000
     25   3  1    24   3   0   246.210242     0.00010000
     25  -3  1    24  -3   0   246.151046     0.00100000
     25   4  0    24   4   1   246.256066     0.00010000
     25   4  1    24   4   0   246.271907     0.00010000
     25   5  0    24   5   1   246.375983     0.00010000
     25   5  1    24   5   0   246.391251     0.00100000
     25   6  0    24   6   1   246.522706     0.00010000
     25   6  1    24   6   0   246.539952     0.00010000
     25   7  0    24   7   1   246.696861     0.00010000
     25   7  1    24   7   0   246.715594     0.00010000
     25   8  0    24   8   1   246.899602     0.00010000
     25   8  1    24   8   0   246.919293     0.00010000
     25   9  0    24   9   1   247.130800     0.00010000
     25   9  1    24   9   0   247.152409     0.00010000
     25  10  0    24  10   1   247.391507     0.00010000
     25  10  1    24  10   0   247.415611    0.00010000
     25  11  0    24  11   1   247.682365     0.00010000
     25  11  1    24  11   0   247.708380     0.00010000
     25  12  0    24  12   1   248.004209     0.00010000
     25  12  1    24  12   0   248.033503     0.00010000
     25  13  0    24  13   1   248.358264     0.00010000
     25  13  1    24  13   0   248.391215     0.00010000
     25  14  0    24  14   1   248.745470     0.00010000
     25  14  1    24  14   0   248.782934     0.00010000
     25  15  0    24  15   1   249.167530     0.00010000
     25  15  1    24  15   0   249.210359     0.00010000
     25  16  0    24  16   1   249.625193     0.00010000
     25  16  1    24  16   0   249.674906     0.00010000
     25  17  0    24  17   1   250.120392     0.00010000
     25  17  1    24  17   0   250.178482     0.00010000
     25  18  0    24  18   1   250.654772     0.00010000
     25  18  1    24  18   0   250.723343     0.00010000
     25  19  0    24  19   1   251.230225     0.00010000
     25  19  1    24  19   0   251.311942     0.00010000
     25  20  0    24  20   1   251.848872     0.00010000
     25  20  1    24  20   0   251.947206     0.00010000
     25  21  0    24  21   1   252.513236     0.00010000
     25  21  1    24  21   0   252.632440     0.00010000
     25  22  0    24  22   1   253.225418     0.00010000
     25  22  1    24  22   0   253.371589     0.00010000
     25  23  0    24  23   1   253.988365     0.00010000
     25  23  1    24  23   0   254.169330     0.00010000
     25  24  0    24  24   1   254.804729     0.00010000
     25  24  1    24  24   0   255.031041     0.00010000
     26   4  0    25   4   1   255.259837     0.00010000
     26   4  1    25   4   0   255.273645     0.00100000
     26   5  0    25   5   1   255.381604     0.00100000
     26   5  1    25   5   0   255.396011     0.00010000
     26   6  0    25   6   1   255.531531     0.00010000
     26   6  1    25   6   0   255.546274     0.00010000
     26   7  0    25   7   1   255.709082     0.00010000
     26   7  1    25   7   0   255.725309     0.00100000
     26   8  0    25   8   1   255.915856     0.00010000
     26   8  1    25   8   0   255.932678    0.00010000
     26   9  0    25   9   1   256.151161     0.00010000
     26   9  1    25   9   0   256.169472     0.00010000
     26  10  0    25  10   1   256.416496     0.00010000
     26  10  1    25  10   0   256.436759     0.00010000
     26  11  0    25  11   1   256.713097     0.00010000
     26  11  1    25  11   0   256.735060     0.00010000
     26  12  0    25  12   1   257.041203    0.00010000
     26  12  1    25  12   0   257.065790     0.00010000
     26  13  0    25  13   1   257.401505     0.00010000
     26  13  1    25  13   0   257.429391     0.00010000
     26  14  0    25  14   1   257.795914     0.00100000
     26  14  1    25  14   0   257.827366     0.00010000
     26  15  0    25  15   1   258.225209     0.00010000
     26  15  1    25  15   0   258.261673     0.00010000
     26  16  0    25  16   1   258.690896     0.00010000
     26  16  1    25  16   0   258.733415     0.00010000
     26  17  1    25  17   0   259.244765     0.00010000
     26  17  0    25  17   1   259.195019     0.00010000
     26  18  1    25  18   0   259.797042     0.00010000
     26  18  0    25  18   1   259.738597     0.00010000
     26  19  1    25  19   0   260.393457     0.00010000
     26  19  0    25  19   1   260.323877     0.00010000
     26  20  1    25  20   0   261.036883     0.00010000
     26  20  0    25  20   1   260.953072     0.00010000
     26  21  1    25  21   0   261.730083     0.00010000
     26  21  0    25  21   1   261.628583     0.00010000
     26  22  1    25  22   0   262.477121     0.00010000
     26  22  0    25  22   1   262.353084     0.00100000
     26  23  1    25  23   0   263.282279     0.00010000
     26  23  0    25  23   1   263.128563     0.00010000
     26  24  1    25  24   0   264.150759     0.00010000
     26  24  0    25  24   1   263.958772     0.00010000
     26  25  1    25  25   0   265.088997     0.00010000
     26  25  0    25  25   1   264.846841     0.00010000
     27   9  0    26   9   1   265.083198     0.00100000
     27   9  1    26   9   0   265.098999     0.00010000
     27  10  0    26  10   1   265.353918     0.00010000
     27  10  1    26  10   0   265.370204     0.00010000
     27  11  0    26  11   1   265.655024     0.00010000
     27  11  1    26  11   0   265.673191     0.00010000
     27  12  0    26  12   1   265.988095     0.00010000
     27  12  1    26  12   0   266.008676     0.00100000
     27  13  0    26  13   1   266.354414     0.00010000
     27  13  1    26  13   0   266.378667    0.00010000
     27  14  0    26  14   1   266.755809     0.00100000
     27  14  1    26  14   0   266.782151     0.00010000
     27  15  0    26  15   1   267.190790    0.00010000
     27  15  1    26  15   0   267.222500     0.00010000
     27  16  0    26  16   1   267.664483     0.00100000
     27  16  1    26  16   0   267.700452     0.00010000
     27  17  0    26  17   1   268.176254     0.00010000
     27  17  1    26  17   0   268.217437     0.00100000
     27  18  0    26  18   1   268.728183     0.00010000
     27  18  1    26  18   0   268.777695     0.00010000
     27  19  0    26  19   1   269.322233     0.00010000
     27  19  1    26  19   0   269.381146     0.00010000
     27  20  0    26  20   1   269.960420     0.00100000
     27  20  1    26  20   0   270.031602     0.00010000
     27  21  0    26  21   1   270.646105     0.00010000
     27  21  1    26  21   0   270.731877     0.00010000
     27  22  0    26  22   1   271.380845     0.00010000
     27  22  1    26  22   0   271.485747     0.00010000
     27  23  0    26  23   1   272.167512     0.00010000
     27  23  1    26  23   0   272.297314     0.00010000
     27  24  0    26  24   1   273.009503     0.00010000
     27  24  1    26  24   0   273.171536     0.00010000
     27  25  0    26  25   1   273.910186     0.00010000
     27  25  1    26  25   0   274.114352     0.00010000
     27  26  0    26  26   1   274.873133     0.00010000
     27  26  1    26  26   0   275.132880     0.00010000
     28  12  1    27  12   0   274.862303     0.00010000
     28  12  0    27  12   1   274.844960    0.00010000
     28  13  1    27  13   0   275.234283     0.00100000
     28  13  0    27  13   1   275.217098     0.00010000
     28  14  1    27  14   0   275.645936     0.00010000
     28  14  0    27  14   1   275.623419     0.00010000
     28  15  1    27  15   0   276.091120     0.00010000
     28  16  1    27  16   0   276.575218     0.00010000
     28  17  1    27  17   0   277.097919     0.00100000
     28  18  1    27  18   0   277.664519     0.00010000
     28  18  0    27  18   1   277.622792     0.00010000
     28  19  1    27  19   0   278.274845    0.00010000
     28  19  0    27  19   1   278.224404     0.00010000
     28  20  1    27  20   0   278.930375     0.00010000
     28  20  0    27  20   1   278.871125     0.00010000
     28  21  1    27  21   0   279.637165     0.00010000
     28  21  0    27  21   1   279.564956     0.00010000
     28  22  1    27  22   0   280.396637     0.00010000
     28  22  0    27  22   1   280.308309    0.00010000
     28  23  1    27  23   0   281.213737     0.00010000
     28  23  0    27  23   1   281.105263     0.00010000
     28  24  0    27  24   1   281.956705     0.00010000
     28  24  1    27  24   0   282.092564     0.00010000
     28  25  0    27  25   1   282.867959     0.00010000
     28  25  1    27  25   0   283.039076     0.00010000
     28  26  0    27  26   1   283.842152    0.00010000
     28  26  1    27  26   0   284.059796     0.00010000
     28  27  0    27  27   1   284.883142     0.00010000
     28  27  1    27  27   0   285.162648     0.00010000
     29  21  1    28  21   0   288.444697     0.00010000
     29  21  0    28  21   1   288.384465     0.00010000
     29  23  1    28  23   0   290.031175    0.00010000
     29  23  0    28  23   1   289.940318     0.00010000
     29  24  0    28  24   1   290.800267     0.00010000
     29  24  1    28  24   0   290.913398     0.00010000
     29  25  0    28  25   1   291.720349     0.00010000
     29  25  1    28  25   0   291.862908     0.00010000
     29  26  0    28  26   1   292.703022     0.00010000
     29  26  1    28  26   0   292.885268    0.00010000
     29  27  1    28  27   0   293.986637     0.00010000
     29  27  0    28  27   1   293.753106     0.00010000
     29  28  0    28  28   1   294.876734     0.00010000
     29  28  1    28  28   0   295.177863     0.00010000
     30  26  1    29  26   0   301.607091     0.00010000
     30  27  1    29  27   0   302.706942     0.00100000
     30  27  0    29  27   1   302.515105     0.00010000
     30  28  0    29  28   1   303.644241     0.00100000
     30  28  1    29  28   0   303.895053     0.00010000
     30  29  0    29  29   1   304.852701     0.00100000
     30  29  1    29  29   0   305.178827     0.00010000
     31  30  0    30  30   1   314.811985     0.00010000
     31  30  1    30  30   0   315.165300     0.00010000
