   OBS/CM-1     UNC/CM-1 JU  KU  U  JL  KL  L   Source
 163.470565 1.000000e-04 16  14  0  15  14  1 23CaDiFu.385
 163.591001 1.000000e-04 16  14  1  15  14  0 23CaDiFu.386
 163.785478 1.000000e-04 16  15  0  15  15  1 23CaDiFu.387
 163.924017 1.000000e-04 16  15  1  15  15  0 23CaDiFu.388
 171.151278 1.000000e-04 17   0  0  16   0  1 23CaDiFu.389
 171.193096 1.000000e-04 17   0  1  16   0  0 23CaDiFu.390
 171.161417 1.000000e-04 17   1  0  16   1  1 23CaDiFu.391
 171.203771 1.000000e-04 17   1  1  16   1  0 23CaDiFu.392
 171.235286 1.000000e-04 17   2  1  16   2  0 23CaDiFu.393
 171.193096 1.000000e-03 17   2  0  16   2  1 23CaDiFu.394
 171.282492 1.000000e-04 17  -3  1  16  -3  0 23CaDiFu.395
 171.238601 1.000000e-04 17  -3  0  16  -3  1 23CaDiFu.396
 171.248750 1.000000e-04 17   3  0  16   3  1 23CaDiFu.397
 171.292937 1.000000e-04 17   3  1  16   3  0 23CaDiFu.398
 171.361418 1.000000e-04 17   4  1  16   4  0 23CaDiFu.399
 171.315834 1.000000e-04 17   4  0  16   4  1 23CaDiFu.400
 171.456572 1.000000e-04 17   5  1  16   5  0 23CaDiFu.401
 171.409004 1.000000e-04 17   5  0  16   5  1 23CaDiFu.402
 171.573579 1.000000e-04 17   6  1  16   6  0 23CaDiFu.403
 171.523404 1.000000e-04 17   6  0  16   6  1 23CaDiFu.404
 171.712763 1.000000e-04 17   7  1  16   7  0 23CaDiFu.405
 171.659473 1.000000e-04 17   7  0  16   7  1 23CaDiFu.406
 171.874978 1.000000e-04 17   8  1  16   8  0 23CaDiFu.407
 171.817565 1.000000e-04 17   8  0  16   8  1 23CaDiFu.408
 172.060448 1.000000e-04 17   9  1  16   9  0 23CaDiFu.409
 171.998213 1.000000e-04 17   9  0  16   9  1 23CaDiFu.410
 172.270116 1.000000e-04 17  10  1  16  10  0 23CaDiFu.411
 172.201902 1.000000e-04 17  10  0  16  10  1 23CaDiFu.412
 172.504790 1.000000e-04 17  11  1  16  11  0 23CaDiFu.413
 172.429310 1.000000e-04 17  11  0  16  11  1 23CaDiFu.414
 172.765463 1.000000e-04 17  12  1  16  12  0 23CaDiFu.415
 172.681187 1.000000e-04 17  12  0  16  12  1 23CaDiFu.416
 172.958356 1.000000e-04 17  13  0  16  13  1 23CaDiFu.417
 173.053391 1.000000e-04 17  13  1  16  13  0 23CaDiFu.418
 173.261576 1.000000e-04 17  14  0  16  14  1 23CaDiFu.419
 173.369859 1.000000e-04 17  14  1  16  14  0 23CaDiFu.420
 173.591965 1.000000e-04 17  15  0  16  15  1 23CaDiFu.421
 173.716487 1.000000e-04 17  15  1  16  15  0 23CaDiFu.422
 173.950396 1.000000e-04 17  16  0  16  16  1 23CaDiFu.423
 174.095079 1.000000e-04 17  16  1  16  16  0 23CaDiFu.424
 180.776438 1.000000e-04 18   0  0  17   0  1 23CaDiFu.425
 180.814135 1.000000e-04 18   0  1  17   0  0 23CaDiFu.426
 180.787164 1.000000e-04 18   1  0  17   1  1 23CaDiFu.427
 180.825124 1.000000e-04 18   1  1  17   1  0 23CaDiFu.428
 180.819287 1.000000e-04 18   2  0  17   2  1 23CaDiFu.429
 180.857848 1.000000e-04 18   2  1  17   2  0 23CaDiFu.430
 180.879561 1.000000e-04 18   3  0  17   3  1 23CaDiFu.431
 180.866129 1.000000e-04 18  -3  0  17  -3  1 23CaDiFu.432
 180.905469 1.000000e-04 18  -3  1  17  -3  0 23CaDiFu.433
 180.919187 1.000000e-04 18   3  1  17   3  0 23CaDiFu.434
 180.948250 1.000000e-04 18   4  0  17   4  1 23CaDiFu.435
 180.989062 1.000000e-04 18   4  1  17   4  0 23CaDiFu.436
 181.045465 1.000000e-04 18   5  0  17   5  1 23CaDiFu.437
 181.088083 1.000000e-04 18   5  1  17   5  0 23CaDiFu.438
 181.164881 1.000000e-04 18   6  0  17   6  1 23CaDiFu.439
 181.209888 1.000000e-04 18   6  1  17   6  0 23CaDiFu.440
 181.306927 1.000000e-04 18   7  0  17   7  1 23CaDiFu.441
 181.354648 1.000000e-04 18   7  1  17   7  0 23CaDiFu.442
 181.471862 1.000000e-04 18   8  0  17   8  1 23CaDiFu.443
 181.523198 1.000000e-04 18   8  1  17   8  0 23CaDiFu.444
 181.716178 1.000000e-04 18   9  1  17   9  0 23CaDiFu.445
 181.660812 1.000000e-03 18   9  0  17   9  1 23CaDiFu.446
 181.934129 1.000000e-04 18  10  1  17  10  0 23CaDiFu.447
 181.872989 1.000000e-04 18  10  0  17  10  1 23CaDiFu.448
 182.177953 1.000000e-04 18  11  1  17  11  0 23CaDiFu.449
 182.110311 1.000000e-04 18  11  0  17  11  1 23CaDiFu.450
 182.448641 1.000000e-04 18  12  1  17  12  0 23CaDiFu.451
 182.373350 1.000000e-04 18  12  0  17  12  1 23CaDiFu.452
 182.662550 1.000000e-04 18  13  0  17  13  1 23CaDiFu.453
 182.747604 1.000000e-04 18  13  1  17  13  0 23CaDiFu.454
 182.979187 1.000000e-04 18  14  0  17  14  1 23CaDiFu.455
 183.075927 1.000000e-04 18  14  1  17  14  0 23CaDiFu.456
 183.324051 1.000000e-04 18  15  0  17  15  1 23CaDiFu.457
 183.435404 1.000000e-04 18  15  1  17  15  0 23CaDiFu.458
 183.698375 1.000000e-04 18  16  0  17  16  1 23CaDiFu.459
 183.827677 1.000000e-04 18  16  1  17  16  0 23CaDiFu.460
 184.103514 1.000000e-04 18  17  0  17  17  1 23CaDiFu.461
 184.255063 1.000000e-04 18  17  1  17  17  0 23CaDiFu.462
 190.364612 1.000000e-04 19   0  1  18   0  0 23CaDiFu.463
 190.331176 1.000000e-04 19   0  0  18   0  1 23CaDiFu.464
 190.375688 1.000000e-04 19   1  1  18   1  0 23CaDiFu.465
 190.342026 1.000000e-04 19   1  0  18   1  1 23CaDiFu.466
 190.409792 1.000000e-04 19   2  1  18   2  0 23CaDiFu.467
 190.375688 1.000000e-04 19   2  0  18   2  1 23CaDiFu.468
 190.422577 1.000000e-04 19  -3  0  18  -3  1 23CaDiFu.469
 190.439800 1.000000e-04 19   3  0  18   3  1 23CaDiFu.470
 190.475179 1.000000e-04 19   3  1  18   3  0 23CaDiFu.471
 190.457470 1.000000e-04 19  -3  1  18  -3  0 23CaDiFu.472
 190.509518 1.000000e-04 19   4  0  18   4  1 23CaDiFu.473
 190.545871 1.000000e-04 19   4  1  18   4  0 23CaDiFu.474
 190.610581 1.000000e-04 19   5  0  18   5  1 23CaDiFu.475
 190.648507 1.000000e-04 19   5  1  18   5  0 23CaDiFu.476
 190.734712 1.000000e-04 19   6  0  18   6  1 23CaDiFu.477
 190.775289 1.000000e-03 19   6  1  18   6  0 23CaDiFu.478
 190.882411 1.000000e-04 19   7  0  18   7  1 23CaDiFu.479
 190.924909 1.000000e-04 19   7  1  18   7  0 23CaDiFu.480
 191.053901 1.000000e-04 19   8  0  18   8  1 23CaDiFu.481
 191.099601 1.000000e-04 19   8  1  18   8  0 23CaDiFu.482
 191.249789 1.000000e-04 19   9  0  18   9  1 23CaDiFu.483
 191.299028 1.000000e-03 19   9  1  18   9  0 23CaDiFu.484
 191.470913 1.000000e-04 19  10  0  18  10  1 23CaDiFu.485
 191.525189 1.000000e-04 19  10  1  18  10  0 23CaDiFu.486
 191.717581 1.000000e-04 19  11  0  18  11  1 23CaDiFu.487
 191.777593 1.000000e-04 19  11  1  18  11  0 23CaDiFu.488
 191.990842 1.000000e-04 19  12  0  18  12  1 23CaDiFu.489
 192.057974 1.000000e-04 19  12  1  18  12  0 23CaDiFu.490
 192.291581 1.000000e-04 19  13  0  18  13  1 23CaDiFu.491
 192.367064 1.000000e-04 19  13  1  18  13  0 23CaDiFu.492
 192.620678 1.000000e-04 19  14  0  18  14  1 23CaDiFu.493
 192.706709 1.000000e-04 19  14  1  18  14  0 23CaDiFu.494
 193.077996 1.000000e-04 19  15  1  18  15  0 23CaDiFu.495
 192.979126 1.000000e-04 19  15  0  18  15  1 23CaDiFu.496
 193.483221 1.000000e-04 19  16  1  18  16  0 23CaDiFu.497
 193.368471 1.000000e-04 19  16  0  18  16  1 23CaDiFu.498
 193.924065 1.000000e-04 19  17  1  18  17  0 23CaDiFu.499
 193.789723 1.000000e-04 19  17  0  18  17  1 23CaDiFu.500
 194.403348 1.000000e-04 19  18  1  18  18  0 23CaDiFu.501
 194.244354 1.000000e-04 19  18  0  18  18  1 23CaDiFu.502
 199.811967 1.000000e-04 20   0  0  19   0  1 23CaDiFu.503
 199.841890 1.000000e-04 20   0  1  19   0  0 23CaDiFu.504
 199.823579 1.000000e-04 20   1  0  19   1  1 23CaDiFu.505
 199.853523 1.000000e-04 20   1  1  19   1  0 23CaDiFu.506
 199.858106 1.000000e-04 20   2  0  19   2  1 23CaDiFu.507
 199.888551 1.000000e-04 20   2  1  19   2  0 23CaDiFu.508
 199.926826 1.000000e-04 20   3  0  19   3  1 23CaDiFu.509
 199.905002 1.000000e-04 20  -3  0  19  -3  1 23CaDiFu.510
 199.935798 1.000000e-04 20  -3  1  19  -3  0 23CaDiFu.511
 199.958213 1.000000e-04 20   3  1  19   3  0 23CaDiFu.512
 199.996979 1.000000e-04 20   4  0  19   4  1 23CaDiFu.513
 200.029194 1.000000e-04 20   4  1  19   4  0 23CaDiFu.514
 200.101775 1.000000e-04 20   5  0  19   5  1 23CaDiFu.515
 200.135340 1.000000e-04 20   5  1  19   5  0 23CaDiFu.516
 200.265774 1.000000e-04 20   6  1  19   6  0 23CaDiFu.517
 200.230376 1.000000e-04 20   6  0  19   6  1 23CaDiFu.518
 200.420936 1.000000e-04 20   7  1  19   7  0 23CaDiFu.519
 200.382907 1.000000e-03 20   7  0  19   7  1 23CaDiFu.520
 200.560894 1.000000e-04 20   8  0  19   8  1 23CaDiFu.521
 200.601349 1.000000e-04 20   8  1  19   8  0 23CaDiFu.522
 200.763851 1.000000e-04 20   9  0  19   9  1 23CaDiFu.523
 200.807706 1.000000e-04 20   9  1  19   9  0 23CaDiFu.524
 200.992737 1.000000e-04 20  10  0  19  10  1 23CaDiFu.525
 201.040774 1.000000e-04 20  10  1  19  10  0 23CaDiFu.526
 201.248294 1.000000e-04 20  11  0  19  11  1 23CaDiFu.527
 201.301398 1.000000e-04 20  11  1  19  11  0 23CaDiFu.528
 201.531270 1.000000e-04 20  12  0  19  12  1 23CaDiFu.529
 201.590559 1.000000e-04 20  12  1  19  12  0 23CaDiFu.530
 201.842595 1.000000e-04 20  13  0  19  13  1 23CaDiFu.531
 201.909424 1.000000e-04 20  13  1  19  13  0 23CaDiFu.532
 202.183415 1.000000e-04 20  14  0  19  14  1 23CaDiFu.533
 202.259479 1.000000e-04 20  14  1  19  14  0 23CaDiFu.534
 202.554590 1.000000e-04 20  15  0  19  15  1 23CaDiFu.535
 202.642021 1.000000e-04 20  15  1  19  15  0 23CaDiFu.536
 202.957890 1.000000e-04 20  16  0  19  16  1 23CaDiFu.537
 203.059245 1.000000e-04 20  16  1  19  16  0 23CaDiFu.538
 203.393971 1.000000e-04 20  17  0  19  17  1 23CaDiFu.539
 203.512752 1.000000e-04 20  17  1  19  17  0 23CaDiFu.540
 203.865082 1.000000e-04 20  18  0  19  18  1 23CaDiFu.541
 204.005363 1.000000e-04 20  18  1  19  18  0 23CaDiFu.542
 204.372189 1.000000e-04 20  19  0  19  19  1 23CaDiFu.543
 204.539762 1.000000e-04 20  19  1  19  19  0 23CaDiFu.544
 209.217662 1.000000e-04 21   0  0  20   0  1 23CaDiFu.545
 209.244002 1.000000e-04 21   0  1  20   0  0 23CaDiFu.546
 209.229688 1.000000e-04 21   1  0  20   1  1 23CaDiFu.547
 209.256030 1.000000e-04 21   1  1  20   1  0 23CaDiFu.548
 209.265460 1.000000e-04 21   2  0  20   2  1 23CaDiFu.549
 209.292181 1.000000e-04 21   2  1  20   2  0 23CaDiFu.550
 209.366290 1.000000e-04 21   3  1  20   3  0 23CaDiFu.551
 209.338651 1.000000e-04 21  -3  1  20  -3  0 23CaDiFu.552
 209.338651 1.000000e-04 21   3  0  20   3  1 23CaDiFu.553
 209.311312 1.000000e-04 21  -3  0  20  -3  1 23CaDiFu.554
 209.437012 1.000000e-04 21   4  1  20   4  0 23CaDiFu.555
 209.408633 1.000000e-04 21   4  0  20   4  1 23CaDiFu.556
 209.546438 1.000000e-04 21   5  1  20   5  0 23CaDiFu.557
 209.516847 1.000000e-04 21   5  0  20   5  1 23CaDiFu.558
 209.680710 1.000000e-04 21   6  1  20   6  0 23CaDiFu.559
 209.649658 1.000000e-04 21   6  0  20   6  1 23CaDiFu.560
 209.840613 1.000000e-04 21   7  1  20   7  0 23CaDiFu.561
 209.807408 1.000000e-04 21   7  0  20   7  1 23CaDiFu.562
 210.026460 1.000000e-04 21   8  1  20   8  0 23CaDiFu.563
 209.990894 1.000000e-04 21   8  0  20   8  1 23CaDiFu.564
 210.238975 1.000000e-04 21   9  1  20   9  0 23CaDiFu.565
 210.200375 1.000000e-04 21   9  0  20   9  1 23CaDiFu.566
 210.478779 1.000000e-04 21  10  1  20  10  0 23CaDiFu.567
 210.436613 1.000000e-04 21  10  0  20  10  1 23CaDiFu.568
 210.747138 1.000000e-04 21  11  1  20  11  0 23CaDiFu.569
 210.700345 1.000000e-04 21  11  0  20  11  1 23CaDiFu.570
 211.044134 1.000000e-03 21  12  1  20  12  0 23CaDiFu.571
 210.992414 1.000000e-04 21  12  0  20  12  1 23CaDiFu.572
 211.372395 1.000000e-04 21  13  1  20  13  0 23CaDiFu.573
 211.313756 1.000000e-04 21  13  0  20  13  1 23CaDiFu.574
 211.665423 1.000000e-04 21  14  0  20  14  1 23CaDiFu.575
 211.732115 1.000000e-04 21  14  1  20  14  0 23CaDiFu.576
 212.048514 1.000000e-04 21  15  0  20  15  1 23CaDiFu.577
 212.125228 1.000000e-04 21  15  1  20  15  0 23CaDiFu.578
 212.464570 1.000000e-04 21  16  0  20  16  1 23CaDiFu.579
 212.553422 1.000000e-04 21  16  1  20  16  0 23CaDiFu.580
 212.914756 1.000000e-04 21  17  0  20  17  1 23CaDiFu.581
 213.018806 1.000000e-04 21  17  1  20  17  0 23CaDiFu.582
 213.400689 1.000000e-04 21  18  0  20  18  1 23CaDiFu.583
 213.523690 1.000000e-04 21  18  1  20  18  0 23CaDiFu.584
 213.924200 1.000000e-04 21  19  0  20  19  1 23CaDiFu.585
 214.071010 1.000000e-04 21  19  1  20  19  0 23CaDiFu.586
 214.486852 1.000000e-04 21  20  0  20  20  1 23CaDiFu.587
 214.663887 1.000000e-04 21  20  1  20  20  0 23CaDiFu.588
 218.545949 1.000000e-04 22   0  0  21   0  1 23CaDiFu.589
 218.569142 1.000000e-04 22   0  1  21   0  0 23CaDiFu.590
 218.558278 1.000000e-04 22   1  0  21   1  1 23CaDiFu.591
 218.581283 1.000000e-04 22   1  1  21   1  0 23CaDiFu.592
 218.594951 1.000000e-04 22   2  0  21   2  1 23CaDiFu.593
 218.618287 1.000000e-04 22   2  1  21   2  0 23CaDiFu.594
 218.673280 1.000000e-04 22   3  0  21   3  1 23CaDiFu.595
 218.639378 1.000000e-04 22  -3  0  21  -3  1 23CaDiFu.596
 218.697505 1.000000e-04 22   3  1  21   3  0 23CaDiFu.597
 218.662941 1.000000e-04 22  -3  1  21  -3  0 23CaDiFu.598
 218.742654 1.000000e-03 22   4  0  21   4  1 23CaDiFu.599
 218.767055 1.000000e-04 22   4  1  21   4  0 23CaDiFu.600
 218.853649 1.000000e-04 22   5  0  21   5  1 23CaDiFu.601
 218.879481 1.000000e-04 22   5  1  21   5  0 23CaDiFu.602
 219.017539 1.000000e-04 22   6  1  21   6  0 23CaDiFu.603
 218.990322 1.000000e-04 22   6  0  21   6  1 23CaDiFu.604
 219.152837 1.000000e-04 22   7  0  21   7  1 23CaDiFu.605
 219.181779 1.000000e-04 22   7  1  21   7  0 23CaDiFu.606
 219.372704 1.000000e-04 22   8  1  21   8  0 23CaDiFu.607
 219.341588 1.000000e-04 22   8  0  21   8  1 23CaDiFu.608
 219.590821 1.000000e-04 22   9  1  21   9  0 23CaDiFu.609
 219.557083 1.000000e-04 22   9  0  21   9  1 23CaDiFu.610
 219.837171 1.000000e-04 22  10  1  21  10  0 23CaDiFu.611
 219.800228 1.000000e-04 22  10  0  21  10  1 23CaDiFu.612
 220.112403 1.000000e-04 22  11  1  21  11  0 23CaDiFu.613
 220.071700 1.000000e-04 22  11  0  21  11  1 23CaDiFu.614
 220.417585 1.000000e-04 22  12  1  21  12  0 23CaDiFu.615
 220.372044 1.000000e-04 22  12  0  21  12  1 23CaDiFu.616
 220.753902 1.000000e-04 22  13  1  21  13  0 23CaDiFu.617
 220.702594 1.000000e-04 22  13  0  21  13  1 23CaDiFu.618
 221.122719 1.000000e-04 22  14  1  21  14  0 23CaDiFu.619
 221.064590 1.000000e-04 22  14  0  21  14  1 23CaDiFu.620
 221.525451 1.000000e-04 22  15  1  21  15  0 23CaDiFu.621
 221.458517 1.000000e-04 22  15  0  21  15  1 23CaDiFu.622
 221.963902 1.000000e-04 22  16  1  21  16  0 23CaDiFu.623
 221.886388 1.000000e-04 22  16  0  21  16  1 23CaDiFu.624
 222.440163 1.000000e-04 22  17  1  21  17  0 23CaDiFu.625
 222.349392 1.000000e-04 22  17  0  21  17  1 23CaDiFu.626
 222.849270 1.000000e-04 22  18  0  21  18  1 23CaDiFu.627
 222.956409 1.000000e-04 22  18  1  21  18  0 23CaDiFu.628
 223.387634 1.000000e-04 22  19  0  21  19  1 23CaDiFu.629
 223.515519 1.000000e-04 22  19  1  21  19  0 23CaDiFu.630
 223.966596 1.000000e-04 22  20  0  21  20  1 23CaDiFu.631
 224.120640 1.000000e-04 22  20  1  21  20  0 23CaDiFu.632
 224.587981 1.000000e-04 22  21  0  21  21  1 23CaDiFu.633
 224.775465 1.000000e-04 22  21  1  21  21  0 23CaDiFu.634
 227.794483 1.000000e-04 23   0  0  22   0  1 23CaDiFu.635
 227.814330 1.000000e-04 23   0  1  22   0  0 23CaDiFu.636
 227.806934 1.000000e-04 23   1  0  22   1  1 23CaDiFu.637
 227.826986 1.000000e-03 23   1  1  22   1  0 23CaDiFu.638
 227.844861 1.000000e-04 23   2  0  22   2  1 23CaDiFu.639
 227.865100 1.000000e-04 23   2  1  22   2  0 23CaDiFu.640
 227.928622 1.000000e-04 23   3  0  22   3  1 23CaDiFu.641
 227.886758 1.000000e-04 23  -3  0  22  -3  1 23CaDiFu.642
 227.949594 1.000000e-04 23   3  1  22   3  0 23CaDiFu.643
 227.907582 1.000000e-04 23  -3  1  22  -3  0 23CaDiFu.644
 227.995986 1.000000e-04 23   4  0  22   4  1 23CaDiFu.645
 228.017505 1.000000e-04 23   4  1  22   4  0 23CaDiFu.646
 228.110290 1.000000e-04 23   5  0  22   5  1 23CaDiFu.647
 228.132817 1.000000e-04 23   5  1  22   5  0 23CaDiFu.648
 228.250545 1.000000e-04 23   6  0  22   6  1 23CaDiFu.649
 228.274115 1.000000e-04 23   6  1  22   6  0 23CaDiFu.650
 228.417346 1.000000e-04 23   7  0  22   7  1 23CaDiFu.651
 228.442285 1.000000e-04 23   7  1  22   7  0 23CaDiFu.652
 228.611121 1.000000e-04 23   8  0  22   8  1 23CaDiFu.653
 228.638087 1.000000e-04 23   8  1  22   8  0 23CaDiFu.654
 228.861573 1.000000e-04 23   9  1  22   9  0 23CaDiFu.655
 228.832302 1.000000e-04 23   9  0  22   9  1 23CaDiFu.656
 229.113782 1.000000e-04 23  10  1  22  10  0 23CaDiFu.657
 229.081710 1.000000e-04 23  10  0  22  10  1 23CaDiFu.658
 229.395535 1.000000e-04 23  11  1  22  11  0 23CaDiFu.659
 229.360116 1.000000e-04 23  11  0  22  11  1 23CaDiFu.660
 229.707958 1.000000e-04 23  12  1  22  12  0 23CaDiFu.661
 229.668412 1.000000e-04 23  12  0  22  12  1 23CaDiFu.662
 230.007527 1.000000e-04 23  13  0  22  13  1 23CaDiFu.663
 230.052053 1.000000e-04 23  13  1  22  13  0 23CaDiFu.664
 230.378574 1.000000e-04 23  14  0  22  14  1 23CaDiFu.665
 230.429135 1.000000e-04 23  14  1  22  14  0 23CaDiFu.666
 230.782709 1.000000e-04 23  15  0  22  15  1 23CaDiFu.667
 230.840999 1.000000e-04 23  15  1  22  15  0 23CaDiFu.668
 231.221443 1.000000e-04 23  16  0  22  16  1 23CaDiFu.669
 231.288912 1.000000e-04 23  16  1  22  16  0 23CaDiFu.670
 231.696263 1.000000e-04 23  17  0  22  17  1 23CaDiFu.671
 231.774981 1.000000e-04 23  17  1  22  17  0 23CaDiFu.672
 232.208741 1.000000e-04 23  18  0  22  18  1 23CaDiFu.673
 232.301638 1.000000e-04 23  18  1  22  18  0 23CaDiFu.674
 232.760968 1.000000e-04 23  19  0  22  19  1 23CaDiFu.675
 232.871613 1.000000e-04 23  19  1  22  19  0 23CaDiFu.676
 233.354376 1.000000e-04 23  20  0  22  20  1 23CaDiFu.677
 233.487639 1.000000e-04 23  20  1  22  20  0 23CaDiFu.678
 233.991688 1.000000e-04 23  21  0  22  21  1 23CaDiFu.679
 234.153806 1.000000e-04 23  21  1  22  21  0 23CaDiFu.680
 234.674953 1.000000e-04 23  22  0  22  22  1 23CaDiFu.681
 234.874020 1.000000e-04 23  22  1  22  22  0 23CaDiFu.682
 236.961668 1.000000e-04 24   0  0  23   0  1 23CaDiFu.683
 236.974169 1.000000e-04 24   1  0  23   1  1 23CaDiFu.684
 236.991894 1.000000e-04 24   1  1  23   1  0 23CaDiFu.685
 237.013080 1.000000e-04 24   2  0  23   2  1 23CaDiFu.686
 237.030496 1.000000e-04 24   2  1  23   2  0 23CaDiFu.687
 237.049962 1.000000e-03 24  -3  0  23  -3  1 23CaDiFu.688
 237.102735 1.000000e-04 24   3  0  23   3  1 23CaDiFu.689
 237.120734 1.000000e-04 24   3  1  23   3  0 23CaDiFu.690
 237.069773 1.000000e-04 24  -3  1  23  -3  0 23CaDiFu.691
 237.168046 1.000000e-03 24   4  0  23   4  1 23CaDiFu.692
 237.186380 1.000000e-04 24   4  1  23   4  0 23CaDiFu.693
 237.285038 1.000000e-04 24   5  0  23   5  1 23CaDiFu.694
 237.304249 1.000000e-04 24   5  1  23   5  0 23CaDiFu.695
 237.428388 1.000000e-04 24   6  0  23   6  1 23CaDiFu.696
 237.449043 1.000000e-04 24   6  1  23   6  0 23CaDiFu.697
 237.599382 1.000000e-04 24   7  0  23   7  1 23CaDiFu.698
 237.621015 1.000000e-04 24   7  1  23   7  0 23CaDiFu.699
 237.797496 1.000000e-04 24   8  0  23   8  1 23CaDiFu.700
 237.820858 1.000000e-04 24   8  1  23   8  0 23CaDiFu.701
 238.023829 1.000000e-04 24   9  0  23   9  1 23CaDiFu.702
 238.049240 1.000000e-04 24   9  1  23   9  0 23CaDiFu.703
 238.279724 1.000000e-03 24  10  0  23  10  1 23CaDiFu.704
 238.306995 1.000000e-04 24  10  1  23  10  0 23CaDiFu.705
 238.594837 1.000000e-04 24  11  1  23  11  0 23CaDiFu.706
 238.564305 1.000000e-04 24  11  0  23  11  1 23CaDiFu.707
 238.913872 1.000000e-04 24  12  1  23  12  0 23CaDiFu.708
 238.879770 1.000000e-04 24  12  0  23  12  1 23CaDiFu.709
 239.264974 1.000000e-04 24  13  1  23  13  0 23CaDiFu.710
 239.226381 1.000000e-04 24  13  0  23  13  1 23CaDiFu.711
 239.649820 1.000000e-04 24  14  1  23  14  0 23CaDiFu.712
 239.606192 1.000000e-04 24  14  0  23  14  1 23CaDiFu.713
 240.069660 1.000000e-04 24  15  1  23  15  0 23CaDiFu.714
 240.019591 1.000000e-04 24  15  0  23  15  1 23CaDiFu.715
 240.526134 1.000000e-03 24  16  1  23  16  0 23CaDiFu.716
 240.468220 1.000000e-04 24  16  0  23  16  1 23CaDiFu.717
 241.021559 1.000000e-04 24  17  1  23  17  0 23CaDiFu.718
 240.953724 1.000000e-04 24  17  0  23  17  1 23CaDiFu.719
 241.557966 1.000000e-03 24  18  1  23  18  0 23CaDiFu.720
 241.477805 1.000000e-04 24  18  0  23  18  1 23CaDiFu.721
 242.137589 1.000000e-04 24  19  1  23  19  0 23CaDiFu.722
 242.042129 1.000000e-04 24  19  0  23  19  1 23CaDiFu.723
 242.763807 1.000000e-04 24  20  1  23  20  0 23CaDiFu.724
 242.648799 1.000000e-04 24  20  0  23  20  1 23CaDiFu.725
 243.439685 1.000000e-04 24  21  1  23  21  0 23CaDiFu.726
 243.300588 1.000000e-04 24  21  0  23  21  1 23CaDiFu.727
 244.170167 1.000000e-04 24  22  1  23  22  0 23CaDiFu.728
 243.999142 1.000000e-04 24  22  0  23  22  1 23CaDiFu.729
 244.959310 1.000000e-04 24  23  1  23  23  0 23CaDiFu.730
 244.747371 1.000000e-04 24  23  0  23  23  1 23CaDiFu.731
 246.045335 1.000000e-04 25   0  0  24   0  1 23CaDiFu.732
 246.060697 1.000000e-04 25   0  1  24   0  0 23CaDiFu.733
 246.059882 1.000000e-03 25   1  0  24   1  1 23CaDiFu.734
 246.073706 1.000000e-04 25   1  1  24   1  0 23CaDiFu.735
 246.098733 1.000000e-04 25   2  0  24   2  1 23CaDiFu.736
 246.113671 1.000000e-04 25   2  1  24   2  0 23CaDiFu.737
 246.194392 1.000000e-04 25   3  0  24   3  1 23CaDiFu.738
 246.133777 1.000000e-04 25  -3  0  24  -3  1 23CaDiFu.739
 246.210242 1.000000e-04 25   3  1  24   3  0 23CaDiFu.740
 246.151046 1.000000e-03 25  -3  1  24  -3  0 23CaDiFu.741
 246.256066 1.000000e-04 25   4  0  24   4  1 23CaDiFu.742
 246.271907 1.000000e-04 25   4  1  24   4  0 23CaDiFu.743
 246.375983 1.000000e-04 25   5  0  24   5  1 23CaDiFu.744
 246.391251 1.000000e-03 25   5  1  24   5  0 23CaDiFu.745
 246.522706 1.000000e-04 25   6  0  24   6  1 23CaDiFu.746
 246.539952 1.000000e-04 25   6  1  24   6  0 23CaDiFu.747
 246.696861 1.000000e-04 25   7  0  24   7  1 23CaDiFu.748
 246.715594 1.000000e-04 25   7  1  24   7  0 23CaDiFu.749
 246.899602 1.000000e-04 25   8  0  24   8  1 23CaDiFu.750
 246.919293 1.000000e-04 25   8  1  24   8  0 23CaDiFu.751
 247.130800 1.000000e-04 25   9  0  24   9  1 23CaDiFu.752
 247.152409 1.000000e-04 25   9  1  24   9  0 23CaDiFu.753
 247.391507 1.000000e-04 25  10  0  24  10  1 23CaDiFu.754
 247.415611 1.000000e-04 25  10  1  24  10  0 23CaDiFu.755
 247.682365 1.000000e-04 25  11  0  24  11  1 23CaDiFu.756
 247.708380 1.000000e-04 25  11  1  24  11  0 23CaDiFu.757
 248.004209 1.000000e-04 25  12  0  24  12  1 23CaDiFu.758
 248.033503 1.000000e-04 25  12  1  24  12  0 23CaDiFu.759
 248.358264 1.000000e-04 25  13  0  24  13  1 23CaDiFu.760
 248.391215 1.000000e-04 25  13  1  24  13  0 23CaDiFu.761
 248.745470 1.000000e-04 25  14  0  24  14  1 23CaDiFu.762
 248.782934 1.000000e-04 25  14  1  24  14  0 23CaDiFu.763
 249.167530 1.000000e-04 25  15  0  24  15  1 23CaDiFu.764
 249.210359 1.000000e-04 25  15  1  24  15  0 23CaDiFu.765
 249.625193 1.000000e-04 25  16  0  24  16  1 23CaDiFu.766
 249.674906 1.000000e-04 25  16  1  24  16  0 23CaDiFu.767
 250.120392 1.000000e-04 25  17  0  24  17  1 23CaDiFu.768
 250.178482 1.000000e-04 25  17  1  24  17  0 23CaDiFu.769
 250.654772 1.000000e-04 25  18  0  24  18  1 23CaDiFu.770
